block_id,residential_units,population,jobs10,jobs11,x,y
7549737,34.0,72.0,12.0,12.0,-93.247988583778,44.936836233164
7552130,39.0,114.0,1.0,2.0,-93.2492495375542,44.9368375615411
7556891,35.0,72.0,1.0,1.0,-93.2505080998168,44.9368396700177
7549220,0.0,0.0,51.0,34.0,-93.2429157436509,44.9368317868832
7535022,39.0,78.0,4.0,3.0,-93.2530368436244,44.9368426427098
7552726,28.0,53.0,3.0,2.0,-93.2542976126861,44.9350360147785
7537737,34.0,69.0,2.0,2.0,-93.2517640743906,44.9350309130283
7547805,22.0,56.0,5.0,4.0,-93.3232951094801,44.9314262142209
7547811,16.0,34.0,1.0,1.0,-93.3220254875483,44.9314186844796
7550242,18.0,51.0,3.0,2.0,-93.3207450193069,44.931410050839
7547813,20.0,57.0,2.0,1.0,-93.3194630762241,44.9314027254119
7538731,20.0,44.0,2.0,2.0,-93.3194696919259,44.9295901286245
7540829,21.0,47.0,4.0,4.0,-93.3207524451813,44.9295982758148
7554952,0.0,0.0,0.0,0.0,-93.3258496183653,44.9296334995827
7552624,0.0,0.0,0.0,0.0,-93.320138025035,44.9260043168878
7538722,22.0,40.0,3.0,4.0,-93.3245748831633,44.9296239949108
7547527,21.0,37.0,1.0,6.0,-93.3287304332509,44.9314641917031
7549930,19.0,39.0,1.0,2.0,-93.3287435932256,44.9296489053418
7552616,25.0,66.0,1.0,1.0,-93.3258611582679,44.9278282303336
7538725,27.0,71.0,0.0,1.0,-93.3245867255029,44.9278194549639
7552622,22.0,56.0,2.0,1.0,-93.3220597999124,44.9260122535138
7547812,23.0,56.0,1.0,2.0,-93.3233407346516,44.9260179667302
7542793,0.0,0.0,0.0,0.0,-93.3257876340712,44.9240793132165
7547824,0.0,0.0,0.0,0.0,-93.3246663319617,44.9232585636202
7540837,12.0,24.0,136.0,80.0,-93.3240956046581,44.9188187271975
7540836,28.0,65.0,1.0,1.0,-93.3260169726978,44.9188175934874
7554960,39.0,58.0,33.0,32.0,-93.3284700721363,44.9206251181993
7555344,71.0,131.0,4.0,4.0,-93.2805891814751,44.9332080995329
7548253,29.0,57.0,8.0,6.0,-93.2793076678181,44.9314026842874
7545818,9.0,31.0,20.0,21.0,-93.278379407821,44.9314071925134
7545034,0.0,0.0,1.0,0.0,-93.3087733774592,44.9331317789102
7526121,32.0,81.0,0.0,1.0,-93.2824569275167,44.9277518161879
7543489,44.0,66.0,45.0,44.0,-93.2837198954446,44.933196458544
7556570,0.0,0.0,0.0,0.0,-93.2994639971257,44.9233366605039
7543301,0.0,0.0,0.0,0.0,-93.2978528033309,44.9204580709665
7544065,0.0,0.0,0.0,0.0,-93.3022693467304,44.9160980098071
7543300,0.0,0.0,0.0,0.0,-93.3024918091738,44.9159224852693
7550412,29.0,68.0,1.0,2.0,-93.2914482000008,44.9295396251267
7548255,0.0,0.0,0.0,0.0,-93.274351483702,44.9304748175259
7550055,29.0,68.0,10.0,16.0,-93.2707869288811,44.9314416311572
7554006,29.0,65.0,15.0,14.0,-93.2428946368665,44.9332083882981
7542128,31.0,65.0,33.0,37.0,-93.2466956530034,44.9332027798109
7546790,0.0,0.0,0.0,0.0,-93.2447770038702,44.9314036741922
7539678,40.0,89.0,0.0,190.0,-93.2466910961901,44.9314042357547
7544716,34.0,58.0,62.0,49.0,-93.2466965898782,44.927833077297
7549223,29.0,66.0,1.0,1.0,-93.2441394979658,44.9278245160057
7556379,31.0,66.0,1.0,1.0,-93.2428858171786,44.9260210443006
7552131,35.0,92.0,11.0,10.0,-93.2479749066471,44.933204327245
7541035,0.0,0.0,0.0,0.0,-93.2530220143913,44.9278325604019
7541034,36.0,85.0,6.0,3.0,-93.2530339936349,44.9314222083858
7542652,33.0,62.0,2.0,5.0,-93.2479676709571,44.9313718266984
2573612,12.0,48.0,7.0,3.0,-93.2517511206826,44.9277931075045
7544682,19.0,44.0,41.0,38.0,-93.2479576821525,44.9277889969867
7545649,0.0,0.0,8.0,10.0,-93.2530316200009,44.9296266894567
7546791,31.0,89.0,15.0,13.0,-93.2365559278655,44.9332136222498
7549929,13.0,34.0,0.0,1.0,-93.2381368274493,44.9332153022895
7556381,30.0,47.0,3.0,4.0,-93.239083666764,44.9332108479566
