index,x,y
517,-94.022415,45.034796
518,-94.022414,45.033003
519,-94.022337,45.004195
520,-94.02232,45.029322
521,-94.022318,44.987178
522,-94.0220557,44.884569
523,-94.0220307,44.8854409
524,-94.022023,44.883756
525,-94.021908,44.902058
526,-94.021833,44.683762
527,-94.021803,45.328557
528,-94.021666,45.380898
529,-94.021649,45.380633
530,-94.021583,45.303925
531,-94.021198,44.854932
532,-94.021156,45.311926
533,-94.021077,45.008111
534,-94.021022,45.381182
535,-94.021002,44.854286
536,-94.020945,45.329984
537,-94.020797,45.26179
538,-94.020686,44.688047
539,-94.020678,45.390546
540,-94.020607,44.593867
541,-94.020598,45.369035
542,-94.0205589,44.6590259
543,-94.020538,45.040419
544,-94.0204926,45.1920171
545,-94.020411,45.008113
546,-94.020368,45.007418
547,-94.0203465,44.8858732
548,-94.020255,45.034753
549,-94.020245,44.841297
550,-94.020242,44.840754
551,-94.02024,44.840375
552,-94.020201,44.854097
553,-94.020197,44.854373
554,-94.020195,44.811276
555,-94.020191,44.854952
556,-94.020188,44.803979
557,-94.020149,44.825828
558,-94.0201382,44.8839519
559,-94.020137,45.382334
560,-94.020133,44.87313
561,-94.02012,44.883739
562,-94.020099,44.876849
563,-94.020078,45.370201
564,-94.020055,44.869578
565,-94.020054,44.88711
566,-94.019995,45.329662
567,-94.019974,45.381629
568,-94.019968,45.381206
569,-94.019957,45.380966
570,-94.01994,45.380574
571,-94.019836,45.267553
572,-94.019822,44.799686
573,-94.019736,45.391271
574,-94.019627,45.275438
575,-94.019578,45.268413
576,-94.019516,45.380778
577,-94.0195124,45.1760582
578,-94.019502,44.50097
579,-94.019445,45.381534
580,-94.019352,45.391069
581,-94.01934,45.360027
582,-94.019182,44.485697
583,-94.01917,44.990259
584,-94.019164,44.46402
585,-94.019158,44.474836
586,-94.019114,44.700911
587,-94.019095,44.471291
588,-94.018995,45.306082
589,-94.018894,44.702626
590,-94.0187052,44.6581355
591,-94.018686,45.376343
592,-94.018352,45.376068
593,-94.018216,45.384549
594,-94.018211,45.303912
595,-94.018193,45.224707
596,-94.018105,45.224706
597,-94.018046,45.271112
598,-94.0178354,45.2389646
599,-94.0177716,45.236682
600,-94.017769,45.353871
601,-94.0177379,45.235686
602,-94.0177206,45.2351773
603,-94.017505,45.322061
604,-94.017503,45.1885214
605,-94.017491,45.175661
606,-94.017486,44.717456
607,-94.0174018,45.2413237
608,-94.017202,45.355015
609,-94.017159,45.354788
610,-94.0171459,45.1771717
611,-94.017135,45.389906
612,-94.017104,44.689997
613,-94.017092,45.123288
614,-94.0170703,45.2410559
615,-94.017066,45.130391
616,-94.01683,44.716037
617,-94.016792,45.326694
618,-94.0167728,45.4182642
619,-94.01662,45.326208
620,-94.016428,45.353574
621,-94.016385,45.354771
622,-94.016355,44.688108
623,-94.016353,44.644497
624,-94.01634,45.325714
625,-94.0162797,45.2402908
626,-94.016271,44.646097
627,-94.016153,44.99629
628,-94.016143,45.328204
629,-94.016069,44.842402
